Area(s),"ASD Prevalence Estimate per 1,000",Author,Country,Male:Female Sex Ratio,Number of Cases,Sample Size,Year Published,Year Started,Year Ended,Youngest Age,Oldest Age
County of Middlesex,0.45,Lotter,England,2.6,35,78000,1966,1964,1964,8.0,10.0
Wisconsin,0.077,Treffert,USA,3.1,69,899750,1970,1962,1967,2.0,12.0
Åarhus County,0.43,Brask,Denmark,1.7,20,46500,1972,1962,1962,2.0,14.0
Camberwall,4.48,"Wing, et al.",England,,12,25000,1976,1974,1974,5.0,14.0
Camberwell,0.49,"Wing, et al.",England,,17,35000,1979,1970,1970,0.0,14.0
Fukushima-ken,0.525,"Hoshino, et al.",Japan,9.9,320,609848,1982,1977,1979,0.0,17.0
Västerbotten County,0.56,"Bohman, et al.",Sweden,1.6,39,69000,1983,1979,1979,0.0,20.0
East,0.43,"McCarthy, et al.",Ireland,1.3,28,65000,1984,1979,1979,8.0,10.0
Gothenburg,0.2,Gillberg,Sweden,3.3,26,128584,1984,1980,1980,4.0,18.0
West Berlin,0.19,"Steinhausen, et al.",Germany,2.3,52,279616,1986,1978,1982,0.0,14.0
Gothenburg; Bohuslän,0.66,"Steffenberg, et al.",Sweden,2.9,35,78413,1986,1984,1984,0.0,10.0
Kurume,1.55,"Matsuishi, et al.",Japan,4.7,51,32834,1987,1983,1983,4.0,12.0
North Dakota,0.33,"Burd, et al.",USA,2.7,59,180986,1987,1985,1985,2.0,18.0
Nova Scotia,1.01,"Bryson, et al.",Canada,2.5,21,20800,1988,1985,1985,6.0,14.0
Southern Ibaraki,1.38,"Tanoue, et al.",Japan,4.1,132,95394,1988,1977,1985,3.6,13.2
Rhône,0.45,"Ciadella, et al.",France,2.6,61,135180,1989,1986,1986,3.0,9.0
Nagoya,1.3,"Sugiyama, et al.",Japan,,16,12263,1989,1979,1984,1.5,5.5
Utah,0.357,"Ritvo, et al.",USA,3.7,66,184822,1989,1984,1988,8.0,12.0
Göteborg; Bohuslän,0.95,"Gillberg, et al.",Sweden,2.8,74,78106,1991,1988,1988,4.0,13.0
Yogyakart,1.2,"Wignyosumarto, et al.",Indonesia,2,6,5120,1992,1991,1991,4.0,7.0
Aquitaine; Ile-de-France; Lorraine; Picardie,0.49,"Fombonne, et al.",France,2.1,154,274816,1992,1985,1985,9.0,13.0
Yokohama,2.11,"Honda, et al.",Japan,2.6,18,8537,1996,1994,1994,3.6,13.2
Haute-Garonne; Isère; Saône-et-Loire,0.54,"Fombonne, et al.",France,1.8,174,325347,1997,1992,1993,6.0,16.0
Mölnlycke,4.6,"Arvidsson, et al.",Sweden,3.5,9,1941,1997,1994,1994,3.0,6.0
South Glamorgan,0.72,"Webb, et al.",Wales,6.6,53,73300,1997,1992,1992,3.0,15.0
Akershus County,0.52,"Sponheim, et al.",Norway,2,34,65688,1998,1992,1992,3.0,14.0
Karlstad,12.1,"Kadesjö, et al.",Sweden,9,10,826,1999,1992,1992,6.7,7.7
North Thames,1.01,"Taylor, et al.",England,,498,492453,1999,1998,1998,0.0,15.0
Nationwide,0.38,"Halfon, et al.",USA,,46,99513,1999,1992,1994,0.0,17.0
South East Thames,5.79,"Baird, et al.",England,7.5,94,16235,2000,1998,1998,1.5,8.0
West Midlands,2.02,"Powell, et al.",England,6,59,29200,2000,1995,1995,1.0,4.0
North (Oulu and Lapland),1.39,"Kielinen, et al.",Finland,,187,152732,2000,1996,1997,5.0,18.0
Nationwide,1.32,"Magnússon, et al.",Iceland,4.2,57,43153,2001,1997,1997,5.0,14.0
England; Wales; Scotland,2.61,"Fombonne, et al.",United Kingdom,4.8,27,12529,2001,1999,1999,5.0,15.0
Staffordshire,6.26,"Chakrabarti, et al.",England,,97,15500,2001,1998,1998,2.5,6.5
"Brick Township, NJ",6.7,"Bertrand, et al.",USA,2.7,60,8996,2001,1998,1998,3.0,10.0
California,1.1,"Croen, et al.",USA,4.5,5038,4590333,2002,1987,1999,0.0,12.0
Cambridgeshire,5.7,"Scott, et al.",England,4,196,34262,2002,1999,1999,5.0,11.0
"Atlanta, GA",3.4,"Yeargin-Allsopp, et al.",USA,4,987,289456,2003,1996,1996,3.0,10.0
North East London,3.05,"Lingam, et al.",England,4.8,567,186206,2003,2000,2000,5.0,14.0
Cardiff,2.02,"Webb, et al.",Wales,,17,11692,2003,1998,1998,7.0,11.0
Nationwide,2.78,"Geier, et al.",USA,,10813,3891494,2004,2004,2004,3.6,13.2
Barwon,3.92,"Iscasiano, et al.",Australia,8.3,177,45153,2004,2002,2002,2.0,17.0
Kent,8.28,"Tebruegge, et al.",England,6,21,2536,2004,2000,2000,8.0,9.0
Nationwide,3.02,"Lauritsen, et al.",Denmark,,2061,682397,2004,2001,2001,0.0,9.0
Stafford; Cannock,5.87,"Chakrabarti, et al.",England,6.1,64,10903,2005,2002,2002,4.0,6.0
Yokohama,4.12,"Honda, et al.",Japan,,34,8250,2005,1994,1997,3.6,13.2
